Rank,username,Youtube_Url,Name,Category,Amount_Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments
1,tseries,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,T-Series,Music & Dance,220100000,India,52700,1700,108
2,checkgate,http://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,Education,138600000,,14500000,79500,
3,PewDiePie,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,Animation,111400000,United States,3600000,244000,11400
4,MrBeast6000,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Video gamesHumor,98400000,United States,36700000,2100000,78500
5,✿ Kids Diana Show,http://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw,✿ Kids Diana Show,AnimationToys,97500000,,18100000,71800,
6,Like Nastya,http://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ,Like Nastya,Toys,97500000,,9300000,52600,
7,WWEFanNation,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,Video games,89400000,United States,202300,6600,307
8,zeemusiccompany,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,Music & Dance,85700000,India,120700,4900,166
9,Vlad and Niki,http://youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow,Vlad and Niki,AnimationToys,83600000,,3800000,17700,
10,5-Minute Crafts,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,,77100000,India,190000,1800,84
11,GoldminesTelefilms,http://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA,Goldmines,,72100000,India,31100,403,21
12,kidrauhl,http://youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber,Music & Dance,69500000,United States,632600,41300,3100
13,sabtv,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,MoviesAnimation,69400000,India,32200,589,17
